x,y
-33.46928,-158.4153
-32.67426,-158.2947
-31.87996,-158.169
-30.82125,-157.9988
-30.027,-157.8729
-29.23222,-157.7507
-28.17175,-157.5925
-27.37568,-157.4784
-26.57895,-157.3687
-25.51562,-157.2292
-24.71764,-157.1278
-23.91927,-157.029
-22.85421,-156.9012
-22.05491,-156.8092
-20.9887,-156.6903
-20.18901,-156.6012
-19.12316,-156.4791
-18.32395,-156.3856
-17.52488,-156.2908
-16.45981,-156.161
-15.66131,-156.061
-14.59717,-155.9231
-13.79932,-155.8175
-13.00152,-155.7115
-11.93812,-155.5674
-11.14092,-155.4566
-10.34393,-155.3442
-9.281651,-155.1915
-8.484861,-155.0777
-7.687818,-154.9657
-6.62448,-154.8212
-5.826643,-154.7152
-5.028442,-154.612
-4.229779,-154.5124
-3.164495,-154.3828
-2.365204,-154.2882
-1.5658,-154.1945
-0.4998319,-154.0702
0.2998261,-153.9785
1.366191,-153.8575
2.165869,-153.7659
2.96535,-153.6726
3.764703,-153.5782
4.830208,-153.4498
5.629194,-153.3523
6.427934,-153.2528
7.492604,-153.1175
8.290891,-153.0143
9.354884,-152.8736
10.15244,-152.7648
10.94973,-152.6542
11.74673,-152.5414
12.80936,-152.3909
13.60644,-152.2789
14.66922,-152.1296
15.46627,-152.0173
16.52893,-151.867
17.32605,-151.7551
18.38913,-151.6079
19.18658,-151.4984
19.98412,-151.3897
21.04761,-151.2454
21.84553,-151.1395
22.90986,-151.0019
23.70832,-150.9003
24.77291,-150.7648
25.57114,-150.6616
26.6353,-150.5229
27.4333,-150.418
28.49739,-150.2789
29.29552,-150.175
30.09353,-150.0702
31.15744,-149.9297
31.95542,-149.8246
33.01953,-149.6856
33.81768,-149.5819
34.6158,-149.4779
35.68017,-149.341
36.47887,-149.2422
37.27785,-149.1457
38.34356,-149.0204
39.14288,-148.9268
39.94227,-148.8338
41.00785,-148.7077
41.80695,-148.6126
42.87245,-148.4858
43.67166,-148.3915
44.73707,-148.2641
45.53611,-148.1683
46.60151,-148.0407
47.40075,-147.9467
48.46635,-147.821
49.53154,-147.6921
50.59628,-147.5596
51.39459,-147.4581
52.45874,-147.3206
53.52279,-147.1823
54.32072,-147.0777
55.38371,-146.932
56.18011,-146.8172
57.24115,-146.6584
58.03628,-146.5348
59.09568,-146.3651
59.88957,-146.2336
60.94668,-146.0501
61.73847,-145.9067
62.52953,-145.7591
63.5829,-145.555
64.37179,-145.3961
65.15988,-145.2333
66.20778,-145.0129
67.25716,-144.7854
68.04156,-144.6136
68.82684,-144.4413
69.8729,-144.2133
70.66069,-144.0457
71.71198,-143.8317
72.76595,-143.6308
73.55788,-143.4881
74.35065,-143.3497
75.40875,-143.171
76.20288,-143.04
77.26208,-142.8673
78.05622,-142.7363
78.85009,-142.6036
79.90791,-142.4227
80.70004,-142.2805
81.75464,-142.0826
82.80765,-141.8759
